2020-08-06 22:41:02 status half-installed libgpg-error0:armhf 1.27-6
2020-08-06 22:41:02 status unpacked libgpg-error0:armhf 1.27-6
2020-08-06 22:41:02 status unpacked libgpg-error0:armhf 1.27-6
2020-08-06 22:41:02 install liblz4-1:armhf <none> 0.0~r131-2ubuntu3
2020-08-06 22:41:02 status half-installed liblz4-1:armhf 0.0~r131-2ubuntu3
2020-08-06 22:41:02 status unpacked liblz4-1:armhf 0.0~r131-2ubuntu3
2020-08-06 22:41:02 status unpacked liblz4-1:armhf 0.0~r131-2ubuntu3
2020-08-06 22:41:02 install liblzma5:armhf <none> 5.2.2-1.3
2020-08-06 22:41:02 status half-installed liblzma5:armhf 5.2.2-1.3
2020-08-06 22:41:02 status unpacked liblzma5:armhf 5.2.2-1.3
2020-08-06 22:41:02 status unpacked liblzma5:armhf 5.2.2-1.3
2020-08-06 22:41:03 install libmount1:armhf <none> 2.31.1-0.4ubuntu3
2020-08-06 22:41:03 status half-installed libmount1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:03 status unpacked libmount1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:03 status unpacked libmount1:armhf 2.31.1-0.4ubuntu3
2020-08-06 22:41:03 install libncurses5:armhf <none> 6.1-1ubuntu1
2020-08-06 22:41:03 status half-installed libncurses5:armhf 6.1-1ubuntu1
2020-08-06 22:41:03 status unpacked libncurses5:armhf 6.1-1ubuntu1
2020-08-06 22:41:03 status unpacked libncurses5:armhf 6.1-1ubuntu1
2020-08-06 22:41:03 install libncursesw5:armhf <none> 6.1-1ubuntu1
2020-08-06 22:41:03 status half-installed libncursesw5:armhf 6.1-1ubuntu1
2020-08-06 22:41:03 status unpacked libncursesw5:armhf 6.1-1ubuntu1
2020-08-06 22:41:03 status unpacked libncursesw5:armhf 6.1-1ubuntu1
2020-08-06 22:41:03 install libpam-modules:armhf <none> 1.1.8-3.6ubuntu2
2020-08-06 22:41:03 status half-installed libpam-modules:armhf 1.1.8-3.6ubuntu2
2020-08-06 22:41:04 status unpacked libpam-modules:armhf 1.1.8-3.6ubuntu2
2020-08-06 22:41:04 status unpacked libpam-modules:armhf 1.1.8-3.6ubuntu2
2020-08-06 22:41:04 install libpam-modules-bin:armhf <none> 1.1.8-3.6ubuntu2
2020-08-06 22:41:04 status half-installed libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2020-08-06 22:41:05 status unpacked libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2020-08-06 22:41:05 status unpacked libpam-modules-bin:armhf 1.1.8-3.6ubuntu2
2020-08-06 22:41:05 install libpam-runtime:all <none> 1.1.8-3.6ubuntu2
2020-08-06 22:41:05 status half-installed libpam-runtime:all 1.1.8-3.6ubuntu2
2020-08-06 22:41:05 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-08-06 22:41:05 status unpacked libpam-runtime:all 1.1.8-3.6ubuntu2
2020-08-06 22:41:05 install libpam0g:armhf <none> 1.1.8-3.6ubuntu2
2020-08-06 22:41:05 status half-installed libpam0g:armhf 1.1.8-3.6ubuntu2
2020-08-06 22:41:05 status unpacked libpam0g:armhf 1.1.8-3.6ubuntu2
2020-08-06 22:41:05 status unpacked libpam0g:armhf 1.1.8-3.6ubuntu2
2020-08-06 22:41:05 install libpcre3:armhf <none> 2:8.39-9
2020-08-06 22:41:05 status half-installed libpcre3:armhf 2:8.39-9
2020-08-06 22:41:05 status unpacked libpcre3:armhf 2:8.39-9
2020-08-06 22:41:05 status unpacked libpcre3:armhf 2:8.39-9
2020-08-06 22:41:05 install libprocps6:armhf <none> 2:3.3.12-3ubuntu1
2020-08-06 22:41:05 status half-installed libprocps6:armhf 2:3.3.12-3ubuntu1
2020-08-06 22:41:05 status unpacked libprocps6:armhf 2:3.3.12-3ubuntu1
2020-08-06 22:41:05 status unpacked libprocps6:armhf 2:3.3.12-3ubuntu1
2020-08-06 22:41:06 install libselinux1:armhf <none> 2.7-2build2
2020-08-06 22:41:06 status half-installed libselinux1:armhf 2.7-2build2
2020-08-06 22:41:06 status unpacked libselinux1:armhf 2.7-2build2
2020-08-06 22:41:06 status unpacked libselinux1:armhf 2.7-2build2
2020-08-06 22:41:06 install libsemanage-common:all <none> 2.7-2build2
2020-08-06 22:41:06 status half-installed libsemanage-common:all 2.7-2build2
2020-08-06 22:41:06 status unpacked libsemanage-common:all 2.7-2build2
2020-08-06 22:41:06 status unpacked libsemanage-common:all 2.7-2build2
2020-08-06 22:41:06 install libsemanage1:armhf <none> 2.7-2build2
2020-08-06 22:41:06 status half-installed libsemanage1:armhf 2.7-2build2
2020-08-06 22:41:06 status unpacked libsemanage1:armhf 2.7-2build2
